 time (at Rp)  nbod    mass/mp
  0.61100E+09    38   0.32742E-04
  0.61200E+09    38   0.33734E-04
  0.61300E+09    38   0.33734E-04
  0.61400E+09    39   0.33753E-04
  0.61500E+09    39   0.33753E-04
  0.61600E+09    40   0.34035E-04
  0.61700E+09    40   0.34035E-04
  0.61800E+09    38   0.34035E-04
  0.61900E+09    39   0.34061E-04
  0.62000E+09    39   0.34061E-04
  0.62100E+09    39   0.34082E-04
  0.62200E+09    39   0.34082E-04
  0.62300E+09    40   0.35962E-04
  0.62400E+09    37   0.35962E-04
  0.62500E+09    38   0.36005E-04
  0.62600E+09    38   0.36005E-04
  0.62700E+09    39   0.36038E-04
  0.62800E+09    39   0.36038E-04
  0.62900E+09    40   0.36286E-04
  0.63000E+09    40   0.36286E-04
  0.63100E+09    40   0.36286E-04
  0.63200E+09    41   0.36568E-04
  0.63300E+09    40   0.36568E-04
  0.63400E+09    41   0.36608E-04
  0.63500E+09    40   0.36608E-04
  0.63600E+09    41   0.37297E-04
  0.63700E+09    41   0.37297E-04
  0.63800E+09    42   0.37340E-04
  0.63900E+09    41   0.37340E-04
  0.64000E+09    42   0.37481E-04
  0.64100E+09    41   0.37481E-04
  0.64200E+09    41   0.38303E-04
  0.64300E+09    40   0.38303E-04
  0.64400E+09    40   0.38303E-04
  0.64500E+09    40   0.38391E-04
  0.64600E+09    40   0.38391E-04
  0.64700E+09    40   0.38413E-04
  0.64800E+09    40   0.38413E-04
  0.64900E+09    39   0.38459E-04
  0.65000E+09    39   0.38459E-04
  0.65100E+09    40   0.38527E-04
  0.65200E+09    40   0.38527E-04
  0.65300E+09    38   0.38576E-04
  0.65400E+09    37   0.38576E-04
  0.65500E+09    37   0.38576E-04
  0.65600E+09    38   0.38772E-04
  0.65700E+09    38   0.38772E-04
  0.65800E+09    38   0.39594E-04
  0.65900E+09    38   0.39594E-04
  0.66000E+09    39   0.39790E-04
  0.66100E+09    39   0.39790E-04
  0.66200E+09    38   0.41287E-04
  0.66300E+09    38   0.41287E-04
  0.66400E+09    38   0.41327E-04
  0.66500E+09    37   0.41327E-04
  0.66600E+09    37   0.42016E-04
  0.66700E+09    36   0.42016E-04
  0.66800E+09    36   0.42016E-04
  0.66900E+09    35   0.42157E-04
  0.67000E+09    35   0.42157E-04
  0.67100E+09    36   0.42439E-04
  0.67200E+09    35   0.42439E-04
  0.67300E+09    34   0.42439E-04
  0.67400E+09    33   0.42485E-04
  0.67500E+09    33   0.42485E-04
  0.67600E+09    34   0.42733E-04
  0.67700E+09    34   0.42733E-04
  0.67800E+09    35   0.43726E-04
  0.67900E+09    35   0.43726E-04
  0.68000E+09    35   0.43726E-04
  0.68100E+09    36   0.43769E-04
  0.68200E+09    36   0.43769E-04
  0.68300E+09    36   0.43801E-04
  0.68400E+09    36   0.43801E-04
  0.68500E+09    35   0.43801E-04
  0.68600E+09    36   0.43851E-04
  0.68700E+09    36   0.43851E-04
  0.68800E+09    36   0.43908E-04
  0.68900E+09    36   0.43908E-04
  0.69000E+09    36   0.43995E-04
  0.69100E+09    35   0.43995E-04
  0.69200E+09    34   0.43995E-04
  0.69300E+09    35   0.44028E-04
  0.69400E+09    35   0.44028E-04
  0.69500E+09    36   0.44055E-04
  0.69600E+09    35   0.44055E-04
  0.69700E+09    34   0.44055E-04
  0.69800E+09    35   0.44251E-04
  0.69900E+09    34   0.44251E-04
  0.70000E+09    33   0.44291E-04
  0.70100E+09    33   0.44291E-04
  0.70200E+09    33   0.44291E-04
  0.70300E+09    33   0.44311E-04
  0.70400E+09    32   0.44311E-04
  0.70500E+09    33   0.44391E-04
  0.70600E+09    33   0.44391E-04
  0.70700E+09    34   0.44426E-04
  0.70800E+09    34   0.44426E-04
  0.70900E+09    32   0.44426E-04
  0.71000E+09    32   0.44530E-04
  0.71100E+09    31   0.44530E-04
  0.71200E+09    31   0.44957E-04
  0.71300E+09    31   0.44957E-04
  0.71400E+09    31   0.44957E-04
  0.71500E+09    31   0.45044E-04
  0.71600E+09    31   0.45044E-04
  0.71700E+09    32   0.47445E-04
  0.71800E+09    32   0.47445E-04
  0.71900E+09    33   0.47476E-04
  0.72000E+09    32   0.47476E-04
  0.72100E+09    32   0.47476E-04
  0.72200E+09    33   0.48298E-04
  0.72300E+09    32   0.48298E-04
  0.72400E+09    33   0.48348E-04
  0.72500E+09    32   0.48348E-04
  0.72600E+09    32   0.48348E-04
  0.72700E+09    31   0.48401E-04
  0.72800E+09    31   0.48401E-04
  0.72900E+09    32   0.48420E-04
  0.73000E+09    32   0.48420E-04
  0.73100E+09    33   0.48669E-04
