 time (at Rp)  nbod    mass/mp
  0.47400E+09    44   0.11025E-03
  0.47500E+09    44   0.11025E-03
  0.47600E+09    45   0.11053E-03
  0.47700E+09    45   0.11053E-03
  0.47800E+09    46   0.11111E-03
  0.47900E+09    45   0.11111E-03
  0.48000E+09    46   0.11211E-03
  0.48100E+09    46   0.11211E-03
  0.48200E+09    45   0.11219E-03
  0.48300E+09    45   0.11219E-03
  0.48400E+09    45   0.11221E-03
  0.48500E+09    45   0.11221E-03
  0.48600E+09    46   0.11225E-03
  0.48700E+09    46   0.11225E-03
  0.48800E+09    44   0.11228E-03
  0.48900E+09    44   0.11228E-03
  0.49000E+09    45   0.11230E-03
  0.49100E+09    45   0.11230E-03
  0.49200E+09    46   0.11232E-03
  0.49300E+09    45   0.11232E-03
  0.49400E+09    46   0.11420E-03
  0.49500E+09    46   0.11420E-03
  0.49600E+09    46   0.11470E-03
  0.49700E+09    45   0.11470E-03
  0.49800E+09    46   0.11710E-03
  0.49900E+09    45   0.11710E-03
  0.50000E+09    46   0.11831E-03
  0.50100E+09    46   0.11831E-03
  0.50200E+09    47   0.11838E-03
  0.50300E+09    47   0.11838E-03
  0.50400E+09    48   0.11851E-03
  0.50500E+09    48   0.11851E-03
  0.50600E+09    49   0.12039E-03
  0.50700E+09    48   0.12039E-03
  0.50800E+09    48   0.12041E-03
  0.50900E+09    48   0.12041E-03
  0.51000E+09    48   0.12044E-03
  0.51100E+09    48   0.12044E-03
  0.51200E+09    47   0.12055E-03
  0.51300E+09    46   0.12055E-03
  0.51400E+09    44   0.12138E-03
  0.51500E+09    43   0.12129E-03
  0.51600E+09    44   0.12140E-03
  0.51700E+09    44   0.12144E-03
  0.51800E+09    43   0.12144E-03
  0.51900E+09    44   0.12384E-03
  0.52000E+09    44   0.12384E-03
  0.52100E+09    44   0.12388E-03
  0.52200E+09    44   0.12388E-03
  0.52300E+09    45   0.12425E-03
  0.52400E+09    45   0.12425E-03
  0.52500E+09    46   0.12432E-03
  0.52600E+09    45   0.12432E-03
  0.52700E+09    46   0.12456E-03
  0.52800E+09    43   0.12453E-03
  0.52900E+09    44   0.12456E-03
  0.53000E+09    44   0.12456E-03
  0.53100E+09    44   0.12603E-03
  0.53200E+09    43   0.12603E-03
  0.53300E+09    43   0.12752E-03
  0.53400E+09    42   0.12752E-03
  0.53500E+09    42   0.12763E-03
  0.53600E+09    42   0.12763E-03
  0.53700E+09    42   0.12766E-03
  0.53800E+09    41   0.12766E-03
  0.53900E+09    42   0.12803E-03
  0.54000E+09    42   0.12803E-03
  0.54100E+09    43   0.12808E-03
  0.54200E+09    43   0.12808E-03
  0.54300E+09    43   0.12812E-03
  0.54400E+09    42   0.12812E-03
  0.54500E+09    42   0.12870E-03
  0.54600E+09    42   0.12870E-03
  0.54700E+09    43   0.12907E-03
  0.54800E+09    42   0.12882E-03
  0.54900E+09    42   0.12941E-03
  0.55000E+09    42   0.12941E-03
  0.55100E+09    43   0.13040E-03
  0.55200E+09    42   0.13040E-03
  0.55300E+09    43   0.13109E-03
  0.55400E+09    42   0.13109E-03
  0.55500E+09    43   0.13131E-03
  0.55600E+09    43   0.13131E-03
  0.55700E+09    44   0.13135E-03
  0.55800E+09    44   0.13135E-03
  0.55900E+09    43   0.13142E-03
  0.56000E+09    42   0.13142E-03
  0.56100E+09    42   0.13145E-03
  0.56200E+09    42   0.13145E-03
  0.56300E+09    43   0.13147E-03
  0.56400E+09    40   0.13147E-03
  0.56500E+09    40   0.13155E-03
  0.56600E+09    39   0.13155E-03
  0.56700E+09    40   0.13172E-03
  0.56800E+09    40   0.13172E-03
  0.56900E+09    40   0.13209E-03
  0.57000E+09    40   0.13209E-03
  0.57100E+09    40   0.13259E-03
  0.57200E+09    40   0.13259E-03
  0.57300E+09    39   0.13262E-03
  0.57400E+09    39   0.13262E-03
  0.57500E+09    40   0.13383E-03
  0.57600E+09    39   0.13358E-03
  0.57700E+09    39   0.13361E-03
  0.57800E+09    39   0.13361E-03
  0.57900E+09    40   0.13420E-03
  0.58000E+09    40   0.13420E-03
  0.58100E+09    38   0.13418E-03
  0.58200E+09    39   0.13500E-03
  0.58300E+09    39   0.13500E-03
  0.58400E+09    40   0.13558E-03
  0.58500E+09    40   0.13558E-03
  0.58600E+09    39   0.13576E-03
  0.58700E+09    39   0.13576E-03
  0.58800E+09    40   0.13816E-03
  0.58900E+09    40   0.13816E-03
  0.59000E+09    41   0.13937E-03
  0.59100E+09    39   0.13937E-03
  0.59200E+09    40   0.14036E-03
  0.59300E+09    38   0.14036E-03
  0.59400E+09    38   0.14036E-03
  0.59500E+09    39   0.14056E-03
  0.59600E+09    39   0.14056E-03
  0.59700E+09    40   0.14078E-03
  0.59800E+09    39   0.14078E-03
  0.59900E+09    38   0.14080E-03
  0.60000E+09    37   0.14080E-03
  0.60100E+09    36   0.14082E-03
  0.60200E+09    35   0.14057E-03
  0.60300E+09    36   0.14061E-03
  0.60400E+09    36   0.14061E-03
  0.60500E+09    37   0.14063E-03
  0.60600E+09    36   0.14061E-03
  0.60700E+09    34   0.14061E-03
  0.60800E+09    33   0.14076E-03
  0.60900E+09    33   0.14076E-03
  0.61000E+09    34   0.14086E-03
  0.61100E+09    33   0.14086E-03
  0.61200E+09    34   0.14091E-03
  0.61300E+09    34   0.14091E-03
  0.61400E+09    35   0.14116E-03
  0.61500E+09    35   0.14116E-03
  0.61600E+09    36   0.14166E-03
  0.61700E+09    36   0.14166E-03
  0.61800E+09    36   0.14166E-03
  0.61900E+09    36   0.14168E-03
  0.62000E+09    36   0.14168E-03
  0.62100E+09    35   0.14200E-03
  0.62200E+09    35   0.14200E-03
  0.62300E+09    35   0.14202E-03
  0.62400E+09    34   0.14202E-03
  0.62500E+09    33   0.14205E-03
  0.62600E+09    33   0.14205E-03
  0.62700E+09    33   0.14216E-03
  0.62800E+09    33   0.14216E-03
  0.62900E+09    34   0.14456E-03
  0.63000E+09    34   0.14456E-03
  0.63100E+09    33   0.14456E-03
  0.63200E+09    34   0.14461E-03
  0.63300E+09    34   0.14461E-03
  0.63400E+09    35   0.14466E-03
  0.63500E+09    35   0.14466E-03
  0.63600E+09    36   0.14472E-03
  0.63700E+09    36   0.14472E-03
  0.63800E+09    37   0.14541E-03
  0.63900E+09    37   0.14541E-03
  0.64000E+09    37   0.14544E-03
  0.64100E+09    37   0.14544E-03
  0.64200E+09    37   0.14553E-03
  0.64300E+09    33   0.13149E-03
  0.64400E+09    33   0.13149E-03
  0.64500E+09    34   0.13186E-03
  0.64600E+09    34   0.13186E-03
  0.64700E+09    34   0.13188E-03
